grid_size,percent_obstruction,algorithm,success_rate,score,std_dev_score,collisions,movements,sensors
20,0.1,greedy,0.7666666666666668,-2037,3407,0,39,358
20,0.1,greedy,0.7666666666666668,-2037,3407,0,39,358
25,0.1,greedy,0.7166666666666667,-2599,2982,1,48,430
30,0.1,greedy,0.7333333333333333,-2571,3296,0,58,454
20,0.2,greedy,0.7000000000000001,-2638,3860,1,42,411
25,0.2,greedy,0.6,-3584,3702,0,54,524
20,0.1,pomdp,0.9833333333333335,599,198,0,47,129
30,0.2,greedy,0.6333333333333334,-3323,3360,0,62,523
25,0.1,pomdp,0.9500000000000002,456,223,0,59,180
20,0.30000000000000004,greedy,0.6,-3596,3948,12,48,494
30,0.1,pomdp,0.9500000000000002,356,351,0,75,214
25,0.30000000000000004,greedy,0.48333333333333334,-4469,3548,13,69,602
20,0.2,pomdp,0.8833333333333334,112,546,1,77,310
30,0.30000000000000004,greedy,0.5666666666666667,-3802,3358,1,73,578
25,0.2,pomdp,0.6833333333333333,-359,977,2,87,414
20,0.30000000000000004,pomdp,0.75,-148,912,2,77,353
30,0.2,pomdp,0.75,-181,722,2,88,375
30,0.30000000000000004,pomdp,0.7666666666666666,-238,625,3,100,384
25,0.30000000000000004,pomdp,0.4000000000000001,-998,938,2,96,599
20,0.1,mdp,0.0,-5385,130,0,5,993
20,0.30000000000000004,mdp,0.016666666666666666,-5357,204,2,7,992
